countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
IN,2005,724765256.0,-11.236551689750115,18396217.0,17.0,79.05,1,0,0,0,0,1,0,1,79.05,0.0,0.0,0.0,0.0,79.05,0.0,79.05,0,0,1,0,0,1,0,,,
IN,2006,1369052746.0,-12.524167347048587,31954501.0,629.0,59.08,6,2,0,0,0,8,0,8,54.34,4.74,0.0,0.0,0.0,59.08,0.0,59.08,4,3,1,0,0,8,0,56.666666666667,,
IN,2007,1248270657.0,-13.500446780035706,60968785.0,8210.0,1.6099999999999999,2,1,0,0,0,3,0,3,0.14,1.47,0.0,0.0,0.0,1.6099999999999999,0.0,1.6099999999999999,2,1,0,0,0,3,0,56.666666666667,,
IN,2008,1198387476.0,-16.739638643090345,40575041.0,16218.0,127.52,6,2,0,2,0,8,2,10,37.17,71.11,0.0,19.24,0.0,108.28,19.24,127.52,1,3,2,2,2,6,4,56.666666666667,,
IN,2009,1374072407.0,-17.66687027663039,10792067.0,15255.0,105.59,1,1,0,1,0,2,1,3,8.77,44.01,0.0,52.81,0.0,52.78,52.81,105.59,0,1,1,0,1,2,1,56.666666666667,,
IN,2010,1718882073.0,-16.726089181671966,69428203.0,16316.0,42.99,3,0,1,0,1,4,1,5,5.94,0.0,26.73,0.0,10.32,32.67,10.32,42.99,1,0,0,0,4,1,4,56.666666666667,,
IN,2011,3202018622.0,-16.50187642663442,101842427.0,19796.0,228.99,16,0,0,0,0,16,0,16,228.99,0.0,0.0,0.0,0.0,228.99,0.0,228.99,3,3,5,5,0,9,7,60.0,,
IN,2012,2442510965.0,-4.662060772031128,166547287.0,139332.0,1.34,4,1,0,0,0,5,0,5,1.12,0.22,0.0,0.0,0.0,1.34,0.0,1.34,2,1,1,0,1,4,1,60.0,,
IN,2013,3384479250.0,-1.1050847378003619,222110701.0,132074.0,33.09,2,1,1,0,0,4,0,4,3.09,6.84,23.16,0.0,0.0,33.09,0.0,33.09,1,1,1,0,1,3,1,60.0,,
IN,2014,2840874388.0,-0.5404899846571987,129092401.0,134489.0,92.24,8,2,0,0,1,10,1,11,82.7,2.61,0.0,0.0,6.93,85.31,6.93,92.24,2,3,1,3,2,6,5,70.0,,
