countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
MY,2017,5141537973.0,-19.01567295062168,45961809.0,89264.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,86.0,,
NL,1995,269545448.0,-0.3116019634947165,0.0,78500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,1996,296318481.0,-0.3116019634947165,0.0,85900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,1997,324452855.0,-0.3116019634947165,0.0,90800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,1998,251063856.0,-0.623203926989433,0.0,77873.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,1999,271145702.0,-0.623203926989433,0.0,57050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,2000,473327821.0,-0.623203926989433,0.0,61822.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,2001,534623000.0,-0.623203926989433,0.0,63539.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
NL,2002,1415446000.0,3.0374044750840543,6099926000.0,399129.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,,,
NL,2003,3887153000.0,1.5392737901402511,5234000000.0,381183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,2004,4851625000.0,-0.07654617358718507,4448000000.0,394658.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
NL,2005,3827323000.0,0.39023435282535895,4207000000.0,330534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NL,2006,7112738000.0,-0.3022253350942848,3002000000.0,257033.0,2,0,0,1,0,1,1,2,1,0,0,1,0,1,1,43.333333333333,,
NL,2007,2991777000.0,-0.07903584890530874,2989000000.0,250066.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,43.333333333333,,
